"chapter"|"year"|"value"|"time"
"11"|"2000"|0|2022-03-22 15:10:53
"11"|"2001"|0|2022-03-22 15:10:53
"11"|"2002"|0|2022-03-22 15:10:53
"11"|"2003"|0|2022-03-22 15:10:53
"11"|"2004"|0|2022-03-22 15:10:53
"11"|"2005"|0|2022-03-22 15:10:53
"11"|"2006"|0|2022-03-22 15:10:53
"11"|"2007"|15812.74046|2022-03-22 15:10:53
"11"|"2008"|16072.04626|2022-03-22 15:10:53
"11"|"2009"|17378.57354|2022-03-22 15:10:53
"11"|"2010"|14236.70719|2022-03-22 15:10:53
"11"|"2011"|21975.95812|2022-03-22 15:10:53
"11"|"2012"|14882.45093|2022-03-22 15:10:53
"11"|"2013"|17320.30841|2022-03-22 15:10:53
"11"|"2014"|17773.90431|2022-03-22 15:10:53
"11"|"2015"|18407.93806|2022-03-22 15:10:53
"11"|"2016"|16097.99454|2022-03-22 15:10:53
"11"|"2017"|15515.65888|2022-03-22 15:10:53
"11"|"2018"|11950.7969|2022-03-22 15:10:53
"11"|"2019"|9642.96725|2022-03-22 15:10:53
"11"|"2020"|14507.68441|2022-03-22 15:10:53
"11"|"2021"|15197.3239|2022-03-22 15:10:53
"11"|"2022*"|1667.99061|2022-03-22 15:10:53
"12"|"1998"|0|2022-03-22 15:10:53
"12"|"1999"|0|2022-03-22 15:10:53
"12"|"2000"|0|2022-03-22 15:10:53
"12"|"2001"|0|2022-03-22 15:10:53
"12"|"2002"|0|2022-03-22 15:10:53
"12"|"2003"|0|2022-03-22 15:10:53
"12"|"2004"|0|2022-03-22 15:10:53
"12"|"2005"|0|2022-03-22 15:10:53
"12"|"2006"|0|2022-03-22 15:10:53
"12"|"2007"|21915.54643|2022-03-22 15:10:53
"12"|"2008"|33701.62859|2022-03-22 15:10:53
"12"|"2009"|26733.84468|2022-03-22 15:10:53
"12"|"2010"|32644.85514|2022-03-22 15:10:53
"12"|"2011"|35422.18717|2022-03-22 15:10:53
"12"|"2012"|41396.82493|2022-03-22 15:10:53
"12"|"2013"|35593.2151|2022-03-22 15:10:53
"12"|"2014"|24865.56896|2022-03-22 15:10:53
"12"|"2015"|18192.98971|2022-03-22 15:10:53
"12"|"2016"|19848.59282|2022-03-22 15:10:53
"12"|"2017"|25178.82448|2022-03-22 15:10:53
"12"|"2018"|25051.58647|2022-03-22 15:10:53
"12"|"2019"|17417.57306|2022-03-22 15:10:53
"12"|"2020"|20953.24069|2022-03-22 15:10:53
"12"|"2021"|26452.47621|2022-03-22 15:10:53
"12"|"2022*"|2060.95324|2022-03-22 15:10:53
"13"|"1998"|0|2022-03-22 15:10:53
"13"|"1999"|0|2022-03-22 15:10:53
"13"|"2000"|0|2022-03-22 15:10:53
"13"|"2001"|0|2022-03-22 15:10:53
"13"|"2002"|0|2022-03-22 15:10:53
"13"|"2003"|0|2022-03-22 15:10:53
"13"|"2004"|0|2022-03-22 15:10:53
"13"|"2005"|0|2022-03-22 15:10:53
"13"|"2006"|0|2022-03-22 15:10:53
"13"|"2007"|4523.69523|2022-03-22 15:10:53
"13"|"2008"|5680.62409|2022-03-22 15:10:53
"13"|"2009"|787.32368|2022-03-22 15:10:53
"13"|"2010"|2625.42612|2022-03-22 15:10:53
"13"|"2011"|3198.64054|2022-03-22 15:10:53
"13"|"2012"|2843.90718|2022-03-22 15:10:53
"13"|"2013"|4262.97432|2022-03-22 15:10:53
"13"|"2014"|4619.18691|2022-03-22 15:10:53
"13"|"2015"|4063.20218|2022-03-22 15:10:53
"13"|"2016"|2083.21422|2022-03-22 15:10:53
"13"|"2017"|633.79428|2022-03-22 15:10:53
"13"|"2018"|1905.13495|2022-03-22 15:10:53
"13"|"2019"|2720.96246|2022-03-22 15:10:53
"13"|"2020"|4049.72827|2022-03-22 15:10:53
"13"|"2021"|3494.69985|2022-03-22 15:10:53
"13"|"2022*"|1236.22902|2022-03-22 15:10:53
"14"|"1998"|0|2022-03-22 15:10:53
"14"|"1999"|0|2022-03-22 15:10:53
"14"|"2000"|0|2022-03-22 15:10:53
"14"|"2001"|0|2022-03-22 15:10:53
"14"|"2002"|0|2022-03-22 15:10:53
"14"|"2003"|0|2022-03-22 15:10:53
"14"|"2004"|0|2022-03-22 15:10:53
"14"|"2005"|0|2022-03-22 15:10:53
"14"|"2006"|0|2022-03-22 15:10:53
"14"|"2007"|253.7511|2022-03-22 15:10:53
"14"|"2008"|95.49424|2022-03-22 15:10:53
"14"|"2009"|177.28495|2022-03-22 15:10:53
"14"|"2010"|147.10164|2022-03-22 15:10:53
"14"|"2011"|193.96634|2022-03-22 15:10:53
"14"|"2012"|206.01686|2022-03-22 15:10:53
"14"|"2013"|35.51627|2022-03-22 15:10:53
"14"|"2014"|148.75485|2022-03-22 15:10:53
"14"|"2015"|176.06655|2022-03-22 15:10:53
"14"|"2016"|194.50602|2022-03-22 15:10:53
"14"|"2017"|134.36829|2022-03-22 15:10:53
"14"|"2018"|248.3951|2022-03-22 15:10:53
"14"|"2019"|405.42697|2022-03-22 15:10:53
"14"|"2020"|538.18536|2022-03-22 15:10:53
"14"|"2021"|1619.07485|2022-03-22 15:10:53
"14"|"2022*"|130.22823|2022-03-22 15:10:53
"15"|"1998"|0|2022-03-22 15:10:53
"15"|"1999"|0|2022-03-22 15:10:53
"15"|"2000"|0|2022-03-22 15:10:53
"15"|"2001"|0|2022-03-22 15:10:53
"15"|"2002"|0|2022-03-22 15:10:53
"15"|"2003"|0|2022-03-22 15:10:53
"15"|"2004"|0|2022-03-22 15:10:53
"15"|"2005"|0|2022-03-22 15:10:53
"15"|"2006"|0|2022-03-22 15:10:53
"15"|"2007"|146807.5339|2022-03-22 15:10:53
"15"|"2008"|172115.15371|2022-03-22 15:10:53
"15"|"2009"|135514.45549|2022-03-22 15:10:53
"15"|"2010"|158914.55786|2022-03-22 15:10:53
"15"|"2011"|250790.67486|2022-03-22 15:10:53
"15"|"2012"|265405.72447|2022-03-22 15:10:53
"15"|"2013"|185062.85979|2022-03-22 15:10:53
"15"|"2014"|183316.1845|2022-03-22 15:10:53
"15"|"2015"|158055.44419|2022-03-22 15:10:53
"15"|"2016"|154443.77666|2022-03-22 15:10:53
"15"|"2017"|182396.90698|2022-03-22 15:10:53
"15"|"2018"|187830.56972|2022-03-22 15:10:53
"15"|"2019"|152753.54171|2022-03-22 15:10:53
"15"|"2020"|199899.13728|2022-03-22 15:10:53
"15"|"2021"|307467.01817|2022-03-22 15:10:53
"15"|"2022*"|22094.24499|2022-03-22 15:10:53
"16"|"1998"|0|2022-03-22 15:10:53
"16"|"1999"|0|2022-03-22 15:10:53
"16"|"2000"|0|2022-03-22 15:10:53
"16"|"2001"|0|2022-03-22 15:10:53
"16"|"2002"|0|2022-03-22 15:10:53
"16"|"2003"|0|2022-03-22 15:10:53
"16"|"2004"|0|2022-03-22 15:10:53
"16"|"2005"|0|2022-03-22 15:10:53
"16"|"2006"|0|2022-03-22 15:10:53
"16"|"2007"|34055.77092|2022-03-22 15:10:53
"16"|"2008"|38254.3862|2022-03-22 15:10:53
"16"|"2009"|32187.09149|2022-03-22 15:10:53
"16"|"2010"|38952.07712|2022-03-22 15:10:53
"16"|"2011"|49511.57819|2022-03-22 15:10:53
"16"|"2012"|45473.37518|2022-03-22 15:10:53
"16"|"2013"|51351.13797|2022-03-22 15:10:53
"16"|"2014"|50416.04591|2022-03-22 15:10:53
"16"|"2015"|57536.40043|2022-03-22 15:10:53
"16"|"2016"|51957.00851|2022-03-22 15:10:53
"16"|"2017"|54666.8729|2022-03-22 15:10:53
"16"|"2018"|52203.97437|2022-03-22 15:10:53
"16"|"2019"|50817.40765|2022-03-22 15:10:53
"16"|"2020"|65485.30488|2022-03-22 15:10:53
"16"|"2021"|66827.6517|2022-03-22 15:10:53
"16"|"2022*"|6038.38556|2022-03-22 15:10:53
"17"|"1998"|0|2022-03-22 15:10:53
"17"|"1999"|0|2022-03-22 15:10:53
"17"|"2000"|0|2022-03-22 15:10:53
"17"|"2001"|0|2022-03-22 15:10:53
"17"|"2002"|0|2022-03-22 15:10:53
"17"|"2003"|0|2022-03-22 15:10:53
"17"|"2004"|0|2022-03-22 15:10:53
"17"|"2005"|0|2022-03-22 15:10:53
"17"|"2006"|0|2022-03-22 15:10:53
"17"|"2007"|57356.79667|2022-03-22 15:10:53
"17"|"2008"|44920.56319|2022-03-22 15:10:53
"17"|"2009"|34843.4625|2022-03-22 15:10:53
"17"|"2010"|84223.58815|2022-03-22 15:10:53
"17"|"2011"|81507.9853|2022-03-22 15:10:53
"17"|"2012"|80851.73549|2022-03-22 15:10:53
"17"|"2013"|109923.89483|2022-03-22 15:10:53
"17"|"2014"|88395.20805|2022-03-22 15:10:53
"17"|"2015"|108073.37216|2022-03-22 15:10:53
"17"|"2016"|94236.0327000001|2022-03-22 15:10:53
"17"|"2017"|128411.028|2022-03-22 15:10:53
"17"|"2018"|104569.87161|2022-03-22 15:10:53
"17"|"2019"|92568.15446|2022-03-22 15:10:53
"17"|"2020"|99138.72203|2022-03-22 15:10:53
"17"|"2021"|121545.21453|2022-03-22 15:10:53
"17"|"2022*"|4709.49197|2022-03-22 15:10:53
"18"|"1998"|0|2022-03-22 15:10:53
"18"|"1999"|0|2022-03-22 15:10:53
"18"|"2000"|0|2022-03-22 15:10:53
"18"|"2001"|0|2022-03-22 15:10:53
"18"|"2002"|0|2022-03-22 15:10:53
"18"|"2003"|0|2022-03-22 15:10:53
"18"|"2004"|0|2022-03-22 15:10:53
"18"|"2005"|0|2022-03-22 15:10:53
"18"|"2006"|0|2022-03-22 15:10:53
"18"|"2007"|9839.37525|2022-03-22 15:10:53
"18"|"2008"|8539.47681|2022-03-22 15:10:53
"18"|"2009"|6398.46204|2022-03-22 15:10:53
"18"|"2010"|9591.30443|2022-03-22 15:10:53
"18"|"2011"|8423.57697|2022-03-22 15:10:53
"18"|"2012"|9777.73166|2022-03-22 15:10:53
"18"|"2013"|9732.71518|2022-03-22 15:10:53
"18"|"2014"|10247.1933|2022-03-22 15:10:53
"18"|"2015"|11124.12372|2022-03-22 15:10:53
"18"|"2016"|12119.21125|2022-03-22 15:10:53
"18"|"2017"|10621.4074|2022-03-22 15:10:53
"18"|"2018"|11129.89275|2022-03-22 15:10:53
"18"|"2019"|10471.48875|2022-03-22 15:10:53
"18"|"2020"|9940.41632|2022-03-22 15:10:53
"18"|"2021"|12564.87916|2022-03-22 15:10:53
"18"|"2022*"|1088.20888|2022-03-22 15:10:53
"19"|"1998"|0|2022-03-22 15:10:53
"19"|"1999"|0|2022-03-22 15:10:53
"19"|"2000"|0|2022-03-22 15:10:53
"19"|"2001"|0|2022-03-22 15:10:53
"19"|"2002"|0|2022-03-22 15:10:53
"19"|"2003"|0|2022-03-22 15:10:53
"19"|"2004"|0|2022-03-22 15:10:53
"19"|"2005"|0|2022-03-22 15:10:53
"19"|"2006"|0|2022-03-22 15:10:53
"19"|"2007"|62967.77599|2022-03-22 15:10:53
"19"|"2008"|76445.5597|2022-03-22 15:10:53
"19"|"2009"|71931.06671|2022-03-22 15:10:53
"19"|"2010"|78369.55161|2022-03-22 15:10:53
"19"|"2011"|83926.2538300001|2022-03-22 15:10:53
"19"|"2012"|93639.25867|2022-03-22 15:10:53
"19"|"2013"|100347.15788|2022-03-22 15:10:53
"19"|"2014"|108617.0914|2022-03-22 15:10:53
"19"|"2015"|117313.96611|2022-03-22 15:10:53
"19"|"2016"|126289.63068|2022-03-22 15:10:53
"19"|"2017"|128233.72258|2022-03-22 15:10:53
"19"|"2018"|130506.9568|2022-03-22 15:10:53
"19"|"2019"|132557.59669|2022-03-22 15:10:53
"19"|"2020"|142508.87688|2022-03-22 15:10:53
"19"|"2021"|144707.52189|2022-03-22 15:10:53
"19"|"2022*"|13547.69807|2022-03-22 15:10:53
"20"|"1998"|0|2022-03-22 15:10:53
"20"|"1999"|0|2022-03-22 15:10:53
"20"|"2000"|0|2022-03-22 15:10:53
"20"|"2001"|0|2022-03-22 15:10:53
"20"|"2002"|0|2022-03-22 15:10:53
"20"|"2003"|0|2022-03-22 15:10:53
"20"|"2004"|0|2022-03-22 15:10:53
"20"|"2005"|0|2022-03-22 15:10:53
"20"|"2006"|0|2022-03-22 15:10:53
"20"|"2007"|262816.38018|2022-03-22 15:10:53
"20"|"2008"|258858.25434|2022-03-22 15:10:53
"20"|"2009"|266063.45952|2022-03-22 15:10:53
"20"|"2010"|289296.25817|2022-03-22 15:10:53
"20"|"2011"|311788.15234|2022-03-22 15:10:53
"20"|"2012"|358068.75593|2022-03-22 15:10:53
"20"|"2013"|344489.18336|2022-03-22 15:10:53
"20"|"2014"|336654.51081|2022-03-22 15:10:53
"20"|"2015"|361226.88579|2022-03-22 15:10:53
"20"|"2016"|451182.12826|2022-03-22 15:10:53
"20"|"2017"|421067.25012|2022-03-22 15:10:53
"20"|"2018"|373197.73792|2022-03-22 15:10:53
"20"|"2019"|342131.76058|2022-03-22 15:10:53
"20"|"2020"|349893.37497|2022-03-22 15:10:53
"20"|"2021"|428531.52983|2022-03-22 15:10:53
